id,category,subcategory,title,subtitle,layout,imageFile,imagePrompt,prefs,timeOfDay,weather,season,urgency,intent,cold_reason,warm_reason,enriched_reason,audience,cold_cta,warm_cta,enriched_cta
c011,Travel,Weekend escape,Plan a post-monsoon escape to Coorg,"Coffee-estate homestays and misty mornings, five hours out.",content,content/images/c011.jpg,"Lush vivid green coffee plantations of Coorg at bright dawn, a winding road, a cosy homestay, crisp clear morning Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|calm|nature,any,any,monsoon,evergreen,plan,Coorg is greenest right after Bangalore's rains — locals book these weeks out.,"A city escape worth a weekend — coorg, after the rains.","Urban and luxury-resort escapes are your pattern — coorg, after the rains, premium and unhurried.",,Want to explore more weekend escapes?,Want more weekend escapes like this?,Want me to map out more weekend escapes for you?
c012,Travel,Heritage,Catch Hampi at golden hour,Boulder temples and lost-empire ruins — a UNESCO weekend away.,content,content/images/c012.jpg,"The surreal vivid boulder landscape and ancient ruins of Hampi at bright golden hour, a traveler exploring, epic Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|heritage,any,clear,any,evergreen,plan,"A Bangalore favourite worth a look — hampi, at golden hour.","A city escape worth a weekend — hampi, at golden hour.","Urban and luxury-resort escapes are your pattern — hampi, at golden hour, premium and unhurried.",,Want to explore more heritage tables?,Want more heritage tables like this?,Want me to map out more heritage tables for you?
c013,Travel,Beach,Lock in a Goa long weekend,"Sand, sea breeze, and the reset only the coast delivers.",content,content/images/c013.jpg,"A bright serene Goa beach at golden hour, vivid turquoise water, palm trees, a hammock, joyful coastal escape Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|beaches,any,clear,any,timely,book,A Bangalore favourite worth a look — a goa long weekend.,A city escape worth a weekend — a goa long weekend.,"Urban and luxury-resort escapes are your pattern — a goa long weekend, premium and unhurried.",,Want to explore more beach getaways?,Want more beach getaways like this?,Want me to map out more beach getaways for you?
c014,Travel,Nature stay,Book a Wayanad treehouse night,"Wake in the canopy, sleep to crickets — phone optional.",content,content/images/c014.jpg,"A luxury treehouse stay amid bright lush green misty forests of Wayanad Kerala, vivid canopy, serene eco-resort Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|nature|calm,any,any,any,evergreen,book,A Bangalore favourite worth a look — a wayanad treehouse.,A city escape worth a weekend — a wayanad treehouse.,"Urban and luxury-resort escapes are your pattern — a wayanad treehouse, premium and unhurried.",,Want to explore more nature stays?,Want more nature stays like this?,Want me to map out more nature stays for you?
c015,Travel,Hills,Drive the Chikmagalur coffee hills,"Switchback roads, estate stays, a flask and a view.",content,content/images/c015.jpg,"A scenic bright winding road through vivid green Chikmagalur hills and coffee estates, clear blue sky, a car on the road Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|roadtrip|hills,morning,clear,any,evergreen,plan,A Bangalore favourite worth a look — the chikmagalur drive.,A city escape worth a weekend — the chikmagalur drive.,"Urban and luxury-resort escapes are your pattern — the chikmagalur drive, premium and unhurried.",,Want to explore more hill escapes?,Want more hill escapes like this?,Want me to map out more hill escapes for you?
c016,Travel,City break,Escape to Pondicherry for the weekend,"French quarters, sea-facing cafés, mustard-yellow calm.",content,content/images/c016.jpg,"Bright sunlit French-colonial streets of Pondicherry, vivid yellow and white walls, bougainvillea, charming café Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|calm|heritage,any,clear,any,evergreen,plan,A Bangalore favourite worth a look — a pondicherry weekend.,A city escape worth a weekend — a pondicherry weekend.,"Urban and luxury-resort escapes are your pattern — a pondicherry weekend, premium and unhurried.",,Want to explore more city breaks?,Want more city breaks like this?,Want me to map out more city breaks for you?
c017,Travel,Wildlife,Book a dawn safari at Kabini,"Riverbank jeep, big cats, the wild two hours from the city.",content,content/images/c017.jpg,"A bright early-morning wildlife safari jeep by the Kabini river, vivid green forest, golden light, anticipation Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|nature,morning,clear,any,timely,book,A Bangalore favourite worth a look — a kabini safari.,A city escape worth a weekend — a kabini safari.,"Urban and luxury-resort escapes are your pattern — a kabini safari, premium and unhurried.",,Want to explore more wildlife trips?,Want more wildlife trips like this?,Want me to map out more wildlife trips for you?
c018,Travel,Trek,Trek the green ridgelines of Kudremukh,Rolling mist and a climb that earns every view.,content,content/images/c018.jpg,"A vivid green rolling ridgeline trek at Kudremukh, bright misty morning, a hiker on the trail, expansive view Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|nature|fitness,morning,clear|any,any,evergreen,plan,A Bangalore favourite worth a look — the kudremukh trail.,A city escape worth a weekend — the kudremukh trail.,Wellness you take seriously — the kudremukh trail slots into your active routine.,,Want to explore more treks?,Want more treks like this?,Want me to map out more treks for you?
c019,Travel,Flight deal,Grab dipped fares to Goa this week,Fares to Dabolim have dropped for the next three weekends — book by Sunday before they climb back.,content,content/images/c019.jpg,"A bright modern airport lounge window overlooking planes at golden hour, a passport and coffee, warm vivid travel mood Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|beaches,any,any,any,expiring,book,"A Bangalore favourite worth a look — bangalore to the coast, cheaper.","A city escape worth a weekend — bangalore to the coast, cheaper.","Urban and luxury-resort escapes are your pattern — bangalore to the coast, cheaper, premium and unhurried.",,Want to explore more trips like this?,Want more trips like this like this?,Want me to map out more trips like this for you?
c020,Travel,Staycation,Turn a night in into a staycation,"Your own city, heritage-hotel luxury, zero packing.",content,content/images/c020.jpg,"A bright elegant heritage hotel suite in Bangalore with polished wood and warm lamps, vivid, inviting, luxurious Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|calm|heritage,evening,any,any,evergreen,book,A Bangalore favourite worth a look — a heritage-hotel night in.,A city escape worth a weekend — a heritage-hotel night in.,"Urban and luxury-resort escapes are your pattern — a heritage-hotel night in, premium and unhurried.",,Want to explore more staycations?,Want more staycations like this?,Want me to map out more staycations for you?
c021,Travel,Road trip,Chase the Nandi Hills sunrise,"45 minutes out, a sea of clouds, back by breakfast.",content,content/images/c021.jpg,"A bright misty sunrise at Nandi Hills near Bangalore, vivid layered blue mountains above clouds, a winding road Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|roadtrip|hills,morning,clear,any,timely,plan,"Nandi Hills at sunrise is the classic Bangalore escape — 45 minutes, back by breakfast.",A city escape worth a weekend — the nandi hills sunrise.,"Urban and luxury-resort escapes are your pattern — the nandi hills sunrise, premium and unhurried.",,Want to explore more road trips?,Want more road trips like this?,Want me to map out more road trips for you?
c022,Travel,Offbeat,Take the Sakleshpur rail-trek,"Tunnels, viaducts, and a green that doesn't photograph real.",content,content/images/c022.jpg,"A vivid lush green Sakleshpur railway viaduct in bright daylight, dramatic monsoon greenery, scenic adventure Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|nature|roadtrip,any,clear|any,monsoon,evergreen,plan,Sakleshpur's rail-treks are a monsoon secret most Bangaloreans miss.,A city escape worth a weekend — a sakleshpur rail-trek weekend.,"Urban and luxury-resort escapes are your pattern — a sakleshpur rail-trek weekend, premium and unhurried.",,Want to explore more offbeat escapes?,Want more offbeat escapes like this?,Want me to map out more offbeat escapes for you?
c023,Fashion,Festive edit,Shop the festive handloom edit,"Hand-woven, jewel-toned pieces for the season of showing up.",shop,content/images/c023.jpg,"An editorial photo of a model wearing an elegant deep-emerald handloom silk saree with gold zari, bright festive setting, vivid Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|handloom,any,any,festive,timely,buy,Festive season's near — this handloom edit is what the city's dressing in.,"Smart-casual, modern-urbanite — the festive handloom edit, in your beige-and-olive lane.","Minimalist-chic in your champagne-and-sage palette — the festive handloom edit, the kind of piece you invest in.",,Want to explore more festive looks?,Want more festive looks like this?,Want me to pull festive looks in your palette?
c024,Fashion,Capsule,Build an easy linen capsule,"Breathable, mixable, effortless — your monsoon uniform.",shop,content/images/c024.jpg,"An editorial photo of a model in a relaxed beige linen shirt and cream wide trousers, bright airy daylight, effortless elegant Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|minimal,any,rainy|any,monsoon,evergreen,buy,Monsoon dressing in Bangalore is all about linen — this capsule nails it.,"Smart-casual, modern-urbanite — an easy linen capsule, in your beige-and-olive lane.","Minimalist-chic in your champagne-and-sage palette — an easy linen capsule, the kind of piece you invest in.",,Want to explore more capsule pieces?,Want more capsule pieces like this?,Want me to pull capsule pieces in your palette?
c025,Fashion,Streetwear,Cop the new Bonkers Corner streetwear drop,"Bolder graphics than last season, still in your size — drops Friday and the hype sizes sell first.",shop,content/images/c025.jpg,"An editorial street-style photo of a young person in oversized graphic tee, cargo pants and fresh white sneakers, bright urban setting, vivid Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|street,evening,any,any,timely,buy,A Bangalore favourite worth a look — the new drop is live.,"Smart-casual, modern-urbanite — the new drop is live, in your beige-and-olive lane.","Minimalist-chic in your champagne-and-sage palette — the new drop is live, the kind of piece you invest in.",,Want to explore more streetwear drops?,Want more streetwear drops like this?,Want me to pull streetwear drops in your palette?
c026,Fashion,Footwear,Add the everyday white sneaker,One clean pair that works with everything you own.,content,content/images/c026.jpg,"A bright clean studio shot of a model wearing crisp white sneakers, casual outfit, vivid, fashion-forward Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|minimal|street,any,any,any,evergreen,buy,A Bangalore favourite worth a look — the everyday white sneaker.,"Smart-casual, modern-urbanite — the everyday white sneaker, in your beige-and-olive lane.","Minimalist-chic in your champagne-and-sage palette — the everyday white sneaker, the kind of piece you invest in.",,Want to explore more footwear?,Want more footwear like this?,Want me to pull footwear in your palette?
c027,Fashion,Occasion,Nail your sangeet look from Anita Dongre,"Jewel-toned, dance-floor-ready lehengas — book a styling slot at the UB City store before the wedding rush.",content,content/images/c027.jpg,"A bright vibrant Indian sangeet celebration, a guest in a stylish festive outfit, colourful decor, joyful energy Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|handloom,any,any,festive,timely,inspire,A Bangalore favourite worth a look — what to wear to a sangeet.,"Smart-casual, modern-urbanite — what to wear to a sangeet, in your beige-and-olive lane.","Minimalist-chic in your champagne-and-sage palette — what to wear to a sangeet, the kind of piece you invest in.",,Want to explore more occasion looks?,Want more occasion looks like this?,Want me to pull occasion looks in your palette?
c028,Fashion,Sustainable,"Discover No Nasties, a slow-fashion label","Goa-made, 100% organic and fair-trade — fewer, better pieces with a transparent supply chain.",content,content/images/c028.jpg,"A bright minimalist sustainable fashion boutique, natural fabrics on a model, soft daylight, vivid earthy tones Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|minimal|sustainability,any,any,any,evergreen,inspire,A Bangalore favourite worth a look — a slow-fashion label worth it.,"Smart-casual, modern-urbanite — a slow-fashion label worth it, in your beige-and-olive lane.","Minimalist-chic in your champagne-and-sage palette — a slow-fashion label worth it, the kind of piece you invest in.",,Want to explore more slow-fashion finds?,Want more slow-fashion finds like this?,Want me to pull slow-fashion finds in your palette?
c029,Fashion,Accessories,Carry a monsoon-proof Baggit tote,Vegan leather that shrugs off the rain and still looks premium — roomy enough for a laptop commute.,content,content/images/c029.jpg,"A bright product-in-use shot of a stylish person carrying a premium weatherproof bag on a rainy Bangalore street, vivid Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|minimal,any,rainy,monsoon,evergreen,buy,A Bangalore favourite worth a look — the monsoon-proof bag.,"Smart-casual, modern-urbanite — the monsoon-proof bag, in your beige-and-olive lane.","Minimalist-chic in your champagne-and-sage palette — the monsoon-proof bag, the kind of piece you invest in.",,Want to explore more accessories?,Want more accessories like this?,Want me to pull accessories in your palette?
c030,Fashion,Grooming,Book a sharper cut at Bodycraft Salon,Indiranagar's go-to for a precise seasonal trim — request a senior stylist and a monsoon-friendly low-maintenance shape.,content,content/images/c030.jpg,"A bright modern upscale salon in Bangalore, a stylish fresh haircut, mirror and warm light, vivid clean aesthetic Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|beauty,any,any,any,evergreen,book,A Bangalore favourite worth a look — a fresh seasonal haircut.,"Smart-casual, modern-urbanite — a fresh seasonal haircut, in your beige-and-olive lane.","Minimalist-chic in your champagne-and-sage palette — a fresh seasonal haircut, the kind of piece you invest in.",,Want to explore more grooming picks?,Want more grooming picks like this?,Want me to pull grooming picks in your palette?
c031,Fashion,Jewellery,Layer an everyday gold-and-pearl stack,"Fine hoops, a pendant, stacking rings — pieces light enough to never take off. Try Mia by Tanishq for the daily edit.",content,content/images/c031.jpg,"A bright editorial shot of a model wearing delicate modern gold jewellery, warm glowing skin, vivid, elegant Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|handloom|minimal,any,any,festive,evergreen,buy,"Light, wear-everyday gold is having a moment in the city's boutiques.","Smart-casual, modern-urbanite — everyday gold, reimagined, in your beige-and-olive lane.","Minimalist-chic in your champagne-and-sage palette — everyday gold, reimagined, the kind of piece you invest in.",,Want to explore more jewellery?,Want more jewellery like this?,Want me to pull jewellery in your palette?
c032,Fashion,Capsule,Build a breezy linen-and-cotton capsule,Easy whites and indigo separates that mix endlessly — the warm-weather uniform. Fabindia and Cottons for the staples.,content,content/images/c032.jpg,"A bright lookbook triptych mood of a model styling one kurta three ways, airy daylight, vivid, fashion editorial Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|handloom|minimal,any,any,any,evergreen,learn,A Bangalore favourite worth a look — three ways to wear one kurta.,"Smart-casual, modern-urbanite — three ways to wear one kurta, in your beige-and-olive lane.","Minimalist-chic in your champagne-and-sage palette — three ways to wear one kurta, the kind of piece you invest in.",,Want to explore more capsule pieces?,Want more capsule pieces like this?,Want me to pull capsule pieces in your palette?
c033,Home,Cosy corner,Reset a cosy monsoon reading nook,"A warm lamp, a linen throw and a tall fiddle-leaf by the window — the corner the rain deserves. IKEA + a Lalbagh nursery plant.",content,content/images/c033.jpg,"A bright cosy reading corner by a window on a rainy evening, warm lamp, throw blanket, plant, vivid inviting Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",home|calm,evening,rainy,monsoon,evergreen,inspire,A Bangalore favourite worth a look — a monsoon corner reset.,"Warm-wood, clean lines — a monsoon corner reset, a workspace that suits your taste.","Quiet-luxury minimalism — a monsoon corner reset, your aesthetic carried home.",,Want more cosy corner?,Want more cosy corner like this?,Want cosy corner in your aesthetic?
c034,Home,Indoor plants,Start an indoor jungle with five easy plants,"Money plant, snake plant, pothos, ZZ and a peace lily — all low-light, all hard to kill. Pick them up along Lalbagh's nursery row.",content,content/images/c034.jpg,"A bright sunlit living room full of lush vivid green indoor plants, airy and fresh, biophilic home aesthetic Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",home|calm|nature,any,any,any,evergreen,learn,"A Bangalore favourite worth a look — an indoor jungle, started right.","Warm-wood, clean lines — an indoor jungle, started right, a workspace that suits your taste.","Quiet-luxury minimalism — an indoor jungle, started right, your aesthetic carried home.",,Want more indoor plants?,Want more indoor plants like this?,Want indoor plants in your aesthetic?
c035,Home,Aquascape,Build a desk-side Iwagumi aquascape,"A minimalist planted nano-tank — stones, carpeting grass, a quiet light. Source the hardscape from a Russell Market aquarial.",content,content/images/c035.jpg,"A pristine vivid Iwagumi planted aquarium on a minimalist desk, bright clear water, lush green, serene Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",home|calm|make,any,any,any,evergreen,inspire,"A Bangalore favourite worth a look — iwagumi, the living art.","Warm-wood, clean lines — iwagumi, the living art, a workspace that suits your taste.","Quiet-luxury minimalism — iwagumi, the living art, your aesthetic carried home.",,Want more aquascaping ideas?,Want more aquascaping ideas like this?,Want aquascaping ideas in your aesthetic?
c036,Home,Decor,Bring quiet-luxury calm to the living room,"Warm neutrals, a low wood console, one sculptural plant — minimalism that feels warm, not cold. Build it around a single statement piece.",content,content/images/c036.jpg,"A bright tidy minimalist modern living room, soft evening light, calm and ordered, vivid and warm Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",home|productivity|calm,night,any,any,evergreen,learn,A Bangalore favourite worth a look — the ten-minute reset.,"Warm-wood, clean lines — the ten-minute reset, a workspace that suits your taste.","Quiet-luxury minimalism — the ten-minute reset, your aesthetic carried home.",,Want more decor ideas?,Want more decor ideas like this?,Want decor ideas in your aesthetic?
c037,Home,Scent,Set the evening mood with candle and incense,"Sandalwood pillars, cinnamon sticks, a brass holder — the invisible upgrade after a long day. Try a local attar house or Bath & Body Works.",content,content/images/c037.jpg,"A bright still life of artisanal candles and incense on a wooden shelf, soft glow, vivid warm tones, serene Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",home|calm,evening,any,any,evergreen,inspire,A Bangalore favourite worth a look — set the mood with scent.,"Warm-wood, clean lines — set the mood with scent, a workspace that suits your taste.","Quiet-luxury minimalism — set the mood with scent, your aesthetic carried home.",,Want more scents?,Want more scents like this?,Want scents in your aesthetic?
c038,Home,Smart home,Tap one HomeKit scene to end the day,"A single 'Good Night': lights off, doors locked, music down. Build the scene in Apple Home with Philips Hue + an August lock.",content,content/images/c038.jpg,"A bright sleek smart-home living room at dusk, ambient lighting, glowing voice device, modern vivid interior Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",home|tech,night,any,any,evergreen,buy,Bangalore's tech homes are automating the small stuff — this is the easy entry.,"Warm-wood, clean lines — a smarter good-night, a workspace that suits your taste.","Quiet-luxury minimalism — a smarter good-night, your aesthetic carried home.",,Want more smart home?,Want more smart home like this?,Want smart home in your aesthetic?
c039,Home,Kitchen,"Reorganise the kitchen, cook-flow first","Knives by the board, oils by the hob, herbs on the sill — a warm-wood layout that makes cooking effortless. An IKEA/Sleek system does it.",content,content/images/c039.jpg,"A bright airy modern Bangalore kitchen, organised wooden counters, fresh produce, sunlight, vivid and clean Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",home|food|make,any,any,any,evergreen,inspire,A Bangalore favourite worth a look — the kitchen that works.,"Warm-wood, clean lines — the kitchen that works, a workspace that suits your taste.","Quiet-luxury minimalism — the kitchen that works, your aesthetic carried home.",,Want more kitchen?,Want more kitchen like this?,Want kitchen in your aesthetic?
c040,Home,Wall art,Hang a gallery wall of colourful prints,Bold abstract prints in clean frames above the sofa — a wall worth looking up at. Affordable limited editions from The Affordable Art Co.,content,content/images/c040.jpg,"A bright stylish living room wall with framed colourful art prints, warm gallery lighting, vivid curated aesthetic Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",home|culture|calm,any,any,any,evergreen,buy,A Bangalore favourite worth a look — a wall worth looking up at.,"Warm-wood, clean lines — a wall worth looking up at, a workspace that suits your taste.","Quiet-luxury minimalism — a wall worth looking up at, your aesthetic carried home.",,Want more wall art?,Want more wall art like this?,Want wall art in your aesthetic?
