id,category,subcategory,title,subtitle,layout,imageFile,imagePrompt,prefs,timeOfDay,weather,season,urgency,intent,cold_reason,warm_reason,enriched_reason_e1,enriched_reason_e2,audience,cold_cta,warm_cta,enriched_cta
c011,Travel,Weekend escape,Plan a post-monsoon escape to Coorg,"Coffee-estate homestays and misty mornings, five hours out.",content,content/images/c011.jpg,"Lush vivid green coffee plantations of Coorg at bright dawn, a winding road, a cosy homestay, crisp clear morning Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|calm|nature,any,any,monsoon,evergreen,plan,Coorg is greenest right after Bangalore's rains — locals book these weeks out.,You return to short-drive escapes from Bangalore; Coorg after the rains is the most specific version of that getaway.,"A coffee-estate stay five hours out — the unhurried, premium weekend that suits your slow-living rhythm.","A homestay weekend with three friends, hostel-priced, post-monsoon green — the kind of trip you actually pull off, not just save.",,Want to explore more weekend escapes?,Want more weekend escapes like this?,Want me to map out more weekend escapes for you?
c012,Travel,Heritage,Catch Hampi at golden hour,Boulder temples and lost-empire ruins — a UNESCO weekend away.,content,content/images/c012.jpg,"The surreal vivid boulder landscape and ancient ruins of Hampi at bright golden hour, a traveler exploring, epic Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|heritage,any,clear,any,evergreen,plan,"Hampi at golden hour is Karnataka's UNESCO masterpiece — boulder temples and ruined empires, an overnight bus away.",You return to heritage and culture content over scroll-past travel; Hampi is the deepest-rooted version of that pull.,A UNESCO-grade weekend rooted in Karnataka history — the kind of culturally serious travel worthy of your calendar.,"A backpacker-classic weekend with your friends — an overnight bus, ₹3,000 in stays, golden-hour boulders that photograph themselves.",,Want to explore more heritage tables?,Want more heritage tables like this?,Want me to map out more heritage tables for you?
c013,Travel,Beach,Lock in a Goa long weekend,"Sand, sea breeze, and the reset only the coast delivers.",content,content/images/c013.jpg,"A bright serene Goa beach at golden hour, vivid turquoise water, palm trees, a hammock, joyful coastal escape Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|beaches,any,clear,any,timely,book,Goa fares dip for a few weekends each year — the coast is at its best after the monsoon recedes.,You return to Bangalore-out travel ideas; a Goa long weekend is the popular but well-earned reset on that pattern.,"A Goa weekend done your way — boutique stays, fewer crowds, the post-monsoon shoulder window when the coast clears.",A flatmate Goa trip with cheaper fares and quieter beaches — exactly the long weekend reset that fits your calendar.,,Want to explore more beach getaways?,Want more beach getaways like this?,Want me to map out more beach getaways for you?
c014,Travel,Nature stay,Book a Wayanad treehouse night,"Wake in the canopy, sleep to crickets — phone optional.",content,content/images/c014.jpg,"A luxury treehouse stay amid bright lush green misty forests of Wayanad Kerala, vivid canopy, serene eco-resort Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|nature|calm,any,any,any,evergreen,book,"Wayanad's canopy stays are some of the quietest nights South India offers — phone-optional travel, an afternoon's drive away.","You return to slow, nature-led travel content; a treehouse night is the most specific version of that quiet.","A canopy night in Kerala's Western Ghats — the kind of considered, off-grid stay that resets your hard quarter.","A treehouse night for your creative reset — no scroll, no signal, the trip that changes how the next week feels.",,Want to explore more nature stays?,Want more nature stays like this?,Want me to map out more nature stays for you?
c015,Travel,Hills,Drive the Chikmagalur coffee hills,"Switchback roads, estate stays, a flask and a view.",content,content/images/c015.jpg,"A scenic bright winding road through vivid green Chikmagalur hills and coffee estates, clear blue sky, a car on the road Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|roadtrip|hills,morning,clear,any,evergreen,plan,Chikmagalur's switchback roads and coffee estates are at their best after the rains — a four-hour drive into another climate.,"You return to short-drive Bangalore escapes; a Chikmagalur estate run is the slower, scenic version of that getaway.","A coffee-estate drive with a flask and a view — your kind of unhurried, scenic weekend.","A road trip with a borrowed car and three of your friends — estates, switchbacks, an espresso stop you'd post about.",,Want to explore more hill escapes?,Want more hill escapes like this?,Want me to map out more hill escapes for you?
c016,Travel,City break,Escape to Pondicherry for the weekend,"French quarters, sea-facing cafés, mustard-yellow calm.",content,content/images/c016.jpg,"Bright sunlit French-colonial streets of Pondicherry, vivid yellow and white walls, bougainvillea, charming café Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|calm|heritage,any,clear,any,evergreen,plan,Pondicherry's French quarter and sea-facing cafés are the calmest city break the South offers — six hours of mustard-yellow walls.,"You return to small, specific city breaks over postcard destinations; Pondicherry is the architectural, slow version of that pull.",Mustard-yellow walls and seafront cafés — a heritage city break that holds up to your designer's eye.,A bicycle-and-café weekend that fits your hostel budget — the indie city break that photographs itself.,,Want to explore more city breaks?,Want more city breaks like this?,Want me to map out more city breaks for you?
c017,Travel,Wildlife,Book a dawn safari at Kabini,"Riverbank jeep, big cats, the wild two hours from the city.",content,content/images/c017.jpg,"A bright early-morning wildlife safari jeep by the Kabini river, vivid green forest, golden light, anticipation Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|nature,morning,clear,any,timely,book,"Kabini's dawn safaris are South India's best leopard window — two hours from the city, booked weeks ahead.","You return to wildlife and nature content over postcard travel; a Kabini safari is the specific, bookable version of that interest.","A river-lodge safari with naturalist guides — your considered wildlife weekend, not a quick zoo trip.",A safari weekend with your friends — the kind of trip that makes a year of indoor work feel small.,,Want to explore more wildlife trips?,Want more wildlife trips like this?,Want me to map out more wildlife trips for you?
c018,Travel,Trek,Trek the green ridgelines of Kudremukh,Rolling mist and a climb that earns every view.,content,content/images/c018.jpg,"A vivid green rolling ridgeline trek at Kudremukh, bright misty morning, a hiker on the trail, expansive view Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|nature|fitness,morning,clear|any,any,evergreen,plan,Kudremukh's green ridgelines are the South's most photogenic trek — a climb that earns every view.,"You return to outdoor and nature content; Kudremukh is the more demanding, more rewarding version of that pull.",A ridgeline trek with proper effort and proper views — the weekend that resets your desk-bound month.,"A weekend trek with your friends, ₹2,500 all-in — the trail that earns the calf burn and your post-summit photos.",,Want to explore more treks?,Want more treks like this?,Want me to map out more treks for you?
c019,Travel,Flight deal,Grab dipped fares to Goa this week,Fares to Dabolim have dropped for the next three weekends — book by Sunday before they climb back.,content,content/images/c019.jpg,"A bright modern airport lounge window overlooking planes at golden hour, a passport and coffee, warm vivid travel mood Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|beaches,any,any,any,expiring,book,Bangalore-to-Goa fares have dropped for the next three weekends — these windows close fast.,You return to Bangalore-out travel content; a fare drop window is the moment that turns that interest into a real booking.,A short-haul fare window worth jumping on — the easy way to book the slow weekend already on your calendar.,Cheap-fare weekend windows are how your flatmate trips actually happen — the deal that turns 'someday' into Friday.,,Want to explore more trips like this?,Want more trips like this like this?,Want me to map out more trips like this for you?
c020,Travel,Staycation,Turn a night in into a staycation,"Your own city, heritage-hotel luxury, zero packing.",content,content/images/c020.jpg,"A bright elegant heritage hotel suite in Bangalore with polished wood and warm lamps, vivid, inviting, luxurious Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|calm|heritage,evening,any,any,evergreen,book,"Bangalore's heritage hotels are designed for the local guest — a night in, made to feel like a holiday with zero packing.","You return to small, premium experiences in your own city; a heritage staycation is the considered version of a weekend off.",A heritage-hotel night without leaving the city — your unhurried weekend that fits a slow-living rhythm.,"A staycation splurge that doesn't break your bank — a weekend reset in your own city, properly done.",,Want to explore more staycations?,Want more staycations like this?,Want me to map out more staycations for you?
c021,Travel,Road trip,Chase the Nandi Hills sunrise,"45 minutes out, a sea of clouds, back by breakfast.",content,content/images/c021.jpg,"A bright misty sunrise at Nandi Hills near Bangalore, vivid layered blue mountains above clouds, a winding road Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|roadtrip|hills,morning,clear,any,timely,plan,"Nandi Hills at sunrise is the classic Bangalore escape — 45 minutes, back by breakfast.","You return to short-drive, scenic content; the Nandi sunrise is the iconic, low-effort version of that pull.","A pre-dawn drive and a sea of clouds — the unhurried, scenic morning that resets your hard week.","A 5am drive with your friends, breakfast at a roadside stop, back in the city by 9 — your cheapest weekend high.",,Want to explore more road trips?,Want more road trips like this?,Want me to map out more road trips for you?
c022,Travel,Offbeat,Take the Sakleshpur rail-trek,"Tunnels, viaducts, and a green that doesn't photograph real.",content,content/images/c022.jpg,"A vivid lush green Sakleshpur railway viaduct in bright daylight, dramatic monsoon greenery, scenic adventure Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",travel|nature|roadtrip,any,clear|any,monsoon,evergreen,plan,Sakleshpur's rail-treks are a monsoon secret most Bangaloreans miss.,"You return to nature and offbeat content; the rail-trek is the specific, walked version of that interest.","A two-day rail-trek through the Western Ghats — slow travel with proper texture, the kind of weekend worth your photos.","Two days of viaducts, hostels and unfiltered green — the indie weekend that makes your grid for the right reasons.",,Want to explore more offbeat escapes?,Want more offbeat escapes like this?,Want me to map out more offbeat escapes for you?
c023,Fashion,Festive edit,Shop the festive handloom edit,"Hand-woven, jewel-toned pieces for the season of showing up.",shop,content/images/c023.jpg,"An editorial photo of a model wearing an elegant deep-emerald handloom silk saree with gold zari, bright festive setting, vivid Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|handloom,any,any,festive,timely,buy,Festive season's near — this handloom edit is what the city's dressing in.,You linger on culture content over fast trends; the festive handloom edit is the textile version of that taste.,"Hand-woven, jewel-toned festive pieces — the kind of investment dressing that holds its place in your considered wardrobe.","Festive handloom you'd actually rewear — your indie, slow-fashion version of dressing up, ₹4,000–7,000 range.",,Want to explore more festive looks?,Want more festive looks like this?,Want me to pull festive looks in your palette?
c024,Fashion,Capsule,Build an easy linen capsule,"Breathable, mixable, effortless — your monsoon uniform.",shop,content/images/c024.jpg,"An editorial photo of a model in a relaxed beige linen shirt and cream wide trousers, bright airy daylight, effortless elegant Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|minimal,any,rainy|any,monsoon,evergreen,buy,Monsoon dressing in Bangalore is all about linen — this capsule nails it.,"You return to practical, climate-led wardrobe ideas over trend pieces; a linen capsule is the considered version of that.","A linen capsule is the wardrobe that suits your considered taste and a Bangalore monsoon — fewer pieces, better cut.",Linen sets and indigo separates from Fabindia — your breathable summer uniform that survives a hostel trip.,,Want to explore more capsule pieces?,Want more capsule pieces like this?,Want me to pull capsule pieces in your palette?
c025,Fashion,Streetwear,Cop the new Bonkers Corner streetwear drop,"Bolder graphics than last season, still in your size — drops Friday and the hype sizes sell first.",shop,content/images/c025.jpg,"An editorial street-style photo of a young person in oversized graphic tee, cargo pants and fresh white sneakers, bright urban setting, vivid Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|street,evening,any,any,timely,buy,Bonkers Corner's streetwear drops sell their best sizes in the first 48 hours — the new graphics land Friday.,"Your fashion wishlist leans more practical than runway; the streetwear drop is the louder, optional version of that interest.",A streetwear drop with bolder graphics than last season — a younger note for your wardrobe that mixes high and low.,A streetwear drop priced for your designer's salary — the printed tees that lift jeans and travel well.,,Want to explore more streetwear drops?,Want more streetwear drops like this?,Want me to pull streetwear drops in your palette?
c026,Fashion,Footwear,Add the everyday white sneaker,One clean pair that works with everything you own.,content,content/images/c026.jpg,"A bright clean studio shot of a model wearing crisp white sneakers, casual outfit, vivid, fashion-forward Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|minimal|street,any,any,any,evergreen,buy,One clean white sneaker is the most-worn pair in the city — the shoe of record.,You return to wardrobe staples over occasion buys; a clean white sneaker is the building-block version of that habit.,"One clean white sneaker, properly chosen — the foundation piece your considered wardrobe will lean on for years.",A pair of Veja or Stan Smiths from a sale — every outfit photo of yours gets cleaner.,,Want to explore more footwear?,Want more footwear like this?,Want me to pull footwear in your palette?
c027,Fashion,Occasion,Nail your sangeet look from Anita Dongre,"Jewel-toned, dance-floor-ready lehengas — book a styling slot at the UB City store before the wedding rush.",content,content/images/c027.jpg,"A bright vibrant Indian sangeet celebration, a guest in a stylish festive outfit, colourful decor, joyful energy Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|handloom,any,any,festive,timely,inspire,Wedding season is closing in — Anita Dongre's sangeet looks book out at UB City weeks before the dance floor.,"You linger on occasion-led fashion over fast trends; the Anita Dongre sangeet edit is the considered, dance-floor version.",Anita Dongre is already in your fashion vocabulary — a sangeet styling slot at UB City is your low-stress way to dress for the season.,"The sangeet look without the wedding-week panic — book your styling slot, borrow the look, post the reel.",,Want to explore more occasion looks?,Want more occasion looks like this?,Want me to pull occasion looks in your palette?
c028,Fashion,Sustainable,"Discover No Nasties, a slow-fashion label","Goa-made, 100% organic and fair-trade — fewer, better pieces with a transparent supply chain.",content,content/images/c028.jpg,"A bright minimalist sustainable fashion boutique, natural fabrics on a model, soft daylight, vivid earthy tones Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|minimal|sustainability,any,any,any,evergreen,inspire,"No Nasties is one of India's first fully traceable fashion labels — Goa-made, organic, fair-trade end to end.",You linger on craft and considered making over fast fashion; No Nasties is the supply-chain version of that interest.,A fully traceable supply chain — the kind of considered label that fits your values-led wardrobe.,"Sustainable, transparent and priced for a junior designer — the brand worth telling your flatmates about.",,Want to explore more slow-fashion finds?,Want more slow-fashion finds like this?,Want me to pull slow-fashion finds in your palette?
c029,Fashion,Accessories,Carry a monsoon-proof Baggit tote,Vegan leather that shrugs off the rain and still looks premium — roomy enough for a laptop commute.,content,content/images/c029.jpg,"A bright product-in-use shot of a stylish person carrying a premium weatherproof bag on a rainy Bangalore street, vivid Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|minimal,any,rainy,monsoon,evergreen,buy,Bangalore's monsoon makes a vegan-leather tote the most practical bag of the season — Baggit's roomy enough for a laptop commute.,Your fashion wishlist leans practical over trend; a monsoon-proof tote is the climate version of that habit.,"A vegan-leather tote built for a Bangalore monsoon — your considered carry-everything bag, not a fashion-led one.",A vegan-leather tote that survives your Bangalore monsoon and a Sunday flea market — the everyday bag that pays for itself.,,Want to explore more accessories?,Want more accessories like this?,Want me to pull accessories in your palette?
c030,Fashion,Grooming,Book a sharper cut at Bodycraft Salon,Indiranagar's go-to for a precise seasonal trim — request a senior stylist and a monsoon-friendly low-maintenance shape.,content,content/images/c030.jpg,"A bright modern upscale salon in Bangalore, a stylish fresh haircut, mirror and warm light, vivid clean aesthetic Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|beauty,any,any,any,evergreen,book,A precise seasonal cut is one of the city's quiet upgrades — Bodycraft's senior stylists fill up fast in monsoon weeks.,You return to considered self-care over splashy spa content; a sharper cut is the practical version of that habit.,"A senior-stylist cut at Indiranagar's go-to salon — the small, considered upkeep that suits your polished week.","A monsoon-friendly cut from a senior stylist — ₹1,500 for a head that photographs better in your every light.",,Want to explore more grooming picks?,Want more grooming picks like this?,Want me to pull grooming picks in your palette?
c031,Fashion,Jewellery,Layer an everyday gold-and-pearl stack,"Fine hoops, a pendant, stacking rings — pieces light enough to never take off. Try Mia by Tanishq for the daily edit.",content,content/images/c031.jpg,"A bright editorial shot of a model wearing delicate modern gold jewellery, warm glowing skin, vivid, elegant Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|handloom|minimal,any,any,festive,evergreen,buy,"Light, wear-everyday gold is having a moment in the city's boutiques.",Your fashion wishlist leans understated over loud; an everyday gold-pearl stack is the daily-wear version of that taste.,An everyday gold-pearl stack — the kind of fine jewellery that earns daily wear in your wardrobe.,"A starter pearl-and-gold stack from Mia by Tanishq — fine pieces under ₹8,000 that lift your every outfit.",,Want to explore more jewellery?,Want more jewellery like this?,Want me to pull jewellery in your palette?
c032,Fashion,Capsule,Build a breezy linen-and-cotton capsule,Easy whites and indigo separates that mix endlessly — the warm-weather uniform. Fabindia and Cottons for the staples.,content,content/images/c032.jpg,"A bright lookbook triptych mood of a model styling one kurta three ways, airy daylight, vivid, fashion editorial Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",fashion|handloom|minimal,any,any,any,evergreen,learn,Linen and cotton are the climate uniform here — Fabindia and Cottons make the staples the city actually wears.,You return to practical wardrobe content over trend; a linen-cotton capsule is the climate-led version of that habit.,A linen-and-cotton capsule built around heritage textile mills — your considered staples that mix endlessly.,"A linen-cotton uniform from Fabindia — under ₹6,000 builds your warm-weather wardrobe that takes you everywhere.",,Want to explore more capsule pieces?,Want more capsule pieces like this?,Want me to pull capsule pieces in your palette?
c033,Home,Cosy corner,Reset a cosy monsoon reading nook,"A warm lamp, a linen throw and a tall fiddle-leaf by the window — the corner the rain deserves. IKEA + a Lalbagh nursery plant.",content,content/images/c033.jpg,"A bright cosy reading corner by a window on a rainy evening, warm lamp, throw blanket, plant, vivid inviting Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",home|calm,evening,rainy,monsoon,evergreen,inspire,"Monsoon evenings here call for exactly this — a warm lamp, a linen throw and a tall plant by the window.","You usually move past home interiors, but a corner reset is the small, practical version of home content worth a second look.","A considered corner reset — the low-effort, seasonal refresh that makes your designed home feel alive again.","A ₹1,500 corner reset using what's already in your rental — the upgrade that photographs better than it costs.",,Want more cosy corner?,Want more cosy corner like this?,Want cosy corner in your aesthetic?
